variant	word
bice	biće
cak	čak
ce	će
cekaj	čekaj
cemo	ćemo
ces	ćeš
cesto	često
cete	ćete
cini	čini
covjek	čovjek
cu	ću
doci	doći
dodje	dođe
dodjem	dođem
dodjemo	dođemo
dodjes	dođeš
dodjete	dođete
dodji	dođi
dodjite	dođite
dodju	dođu
hladnoca	hladnoća
hoce	hoće
hoces	hoćeš
hocu	hoću
ici	ići
imas	imaš
inace	inače
jos	još
kaze	kaže
kazem	kažem
kazu	kažu
lose	loše
moci	moći
moguce	moguće
moras	moraš
moze	može
mozda	možda
mozemo	možemo
mozes	možeš
mozete	možete
naci	naći
nacin	način
najvise	najviše
nece	neće
necu	neću
nesto	nešto
nista	ništa
noc	noć
osjeca	osjeća
osjecaj	osjećaj
osjecam	osjećam
osjecamo	osjećamo
osjecas	osjećaš
osjecate	osjećate
osjecati	osjećati
pise	piše
pocetak	početak
pomoc	pomoć
pomoci	pomoći
previse	previše
pricaj	pričaj
rijec	riječ
rodjendan	rođendan
rucak	ručak
sacekaj	sačekaj
sjeca	sjeća
sjecam	sjećam
sjecas	sjećaš
sljedece	sljedeće
sljedeci	sljedeći
slucaj	slučaj
slucaju	slučaju
sreca	sreća
sta	šta
svidja	sviđa
tacno	tačno
takodjer	također
tesko	teško
trebas	trebaš
uopce	uopće
vec	već
vidis	vidiš
vraca	vraća
vrucina	vrućina
zasto	zašto
zelim	želim
zelis	želiš
zena	žena
zivot	život
znas	znaš
