word	weight
selam	20
ja	18
kako	16
može	14
hvala	12
želim	10
molim	10
trebam	9
ne	8
dobro	8
šta	7
mislim	7
volio	6
sjećam	6
možemo	5
gdje	5
kada	5
nisam	5
danas	5
drago	4
pričaj	4
sačekaj	4
ko	4
nemoj	4
lijepo	4
treba	4
mogu	4
boli	4
osjećam	4
odmah	4
pozovi	4
reci	4
donesi	4
otvori	3
zatvori	3
upali	3
ugasi	3
ostani	3
pomozi	3
daj	3
vrati	3
volim	3
važno	3
radije	3
izgleda	2
nekada	2
molimo	2
izvoli	2
čestitam	2
sretan	2
žao	2
nema	2
imam	8
hoću	7
dobar	7
možeš	7
možete	7
hajde	6
sada	6
da	6
jesam	5
htio	5
htjela	5
voljela	6
dođi	5
pričajte	3
čekaj	4
ponovi	4
izvini	4
izvinite	3
